dataset,config,run,seed,split_clean,complete,git_sha,matrix_mrr,matrix_hit_at_5,matrix_hit_at_10,matrix_mean_rank_pct,test_global_auc,matrix_per_ligand_auc
kcat_km,hp1400,20260504-115214_1746525d51_kcat_km_with_decoys_hp1400_bs_v2_hp1400,42,True,True,16cea41159b2719d9eb49044b8b4006ec0ffcfb1,0.228,0.3289,0.4079,0.0776,0.6192,
kcat_km,hp1400,20260822-142025_aa96d11f84_kcat_km_with_decoys_hp1400_bs_v3_hp1400_s7,7,True,True,969c67bc64a056ccfae0b938f7df28423fceff24,0.1985,0.2105,0.3289,0.2339,0.6157,0.7563
kcat_km,hp1400,20260822-143402_aa96d11f84_kcat_km_with_decoys_hp1400_bs_v3_hp1400_s1337,1337,True,True,,0.28,0.3947,0.7368,0.0524,0.6228,0.9487
kcat_km,base_hp50,20260503-112034_1746525d51_kcat_km_with_decoys_bs_v1,42,True,True,16cea41159b2719d9eb49044b8b4006ec0ffcfb1,0.1336,0.1842,0.2763,0.272,0.6303,
km,hp3400,20260504-115536_1746525d51_km_with_decoys_hp3400_bs_v2_hp3400,42,True,True,16cea41159b2719d9eb49044b8b4006ec0ffcfb1,0.219,0.2881,0.3898,0.2595,0.633,
km,hp3400,20260822-152010_aa96d11f84_km_with_decoys_hp3400_bs_v3_hp3400_s7,7,True,True,cc16e34075fedea6fef0158e820f99b080795c0f,0.2032,0.3559,0.4915,0.058,0.6269,0.9421
km,hp3400,20260822-154410_aa96d11f84_km_with_decoys_hp3400_bs_v3_hp3400_s1337,1337,True,True,,0.1659,0.2034,0.2542,0.2128,0.636,0.7818
km,base_hp50,20260503-112035_1746525d51_km_with_decoys_bs_v1,42,True,True,16cea41159b2719d9eb49044b8b4006ec0ffcfb1,0.0228,0.0169,0.0508,0.5832,0.5679,
turnover,hp2000,20260504-115800_1746525d51_turnover_with_decoys_hp2000_bs_v2_hp2000,42,True,True,16cea41159b2719d9eb49044b8b4006ec0ffcfb1,0.3442,0.4857,0.7143,0.0655,0.6033,
turnover,hp2000,20260822-154747_aa96d11f84_turnover_with_decoys_hp2000_bs_v3_hp2000_s7,7,True,True,ae93fb1ea37385f638b64b7fe8f9ba4f0d49c75a,0.2481,0.4571,0.7143,0.0742,0.6091,0.9144
turnover,hp2000,20260822-160811_aa96d11f84_turnover_with_decoys_hp2000_bs_v3_hp2000_s1337,1337,True,True,ae93fb1ea37385f638b64b7fe8f9ba4f0d49c75a,0.2418,0.4286,0.5714,0.0781,0.6407,0.9067
turnover,base_hp50,20260503-112035_1746525d51_turnover_with_decoys_bs_v1,42,True,True,16cea41159b2719d9eb49044b8b4006ec0ffcfb1,0.0403,0.0286,0.1143,0.2794,0.6291,
