dataset,matrix,per_lig_auc,n_lig_eligible,matrix_mrr,matrix_h@5,matrix_h@10,matrix_mean_rank,matrix_n_matched,row_spearman_vs_model_mean,row_spearman_vs_model_std,topk_jaccard@10_vs_model
kcat_km,model_v5,0.5,5,0.13357687851022143,0.18421052631578946,0.27631578947368424,55.13157894736842,76,,,
kcat_km,null_random,0.5,5,0.026850144877728025,0.039473684210526314,0.039473684210526314,99.85526315789474,76,-0.0028068299733107704,0.07437651741716188,0.024981080151358786
kcat_km,null_prot_prior,0.5,5,0.013333333333333334,0.0,0.0,75.0,76,-0.008486916559697943,0.061582791877267944,0.017280701754385962
kcat_km,null_lig_prior,0.5,5,1.0,1.0,1.0,1.0,76,,,0.03806673546611627
km,model_v5,0.4375,4,0.022809650578085056,0.01694915254237288,0.05084745762711865,117.05084745762711,59,,,
km,null_random,0.4375,4,0.026268841287501635,0.03389830508474576,0.05084745762711865,106.0677966101695,59,0.007439611280136757,0.07528135581110351,0.0304781561747506
km,null_prot_prior,0.5,4,0.00980392156862745,0.0,0.0,102.0,59,-0.13430528170350867,0.025743052738871928,0.008421052631578947
km,null_lig_prior,0.5,4,1.0,1.0,1.0,1.0,59,,,0.038421052631578946
turnover,model_v5,0.5,1,0.04027748181374682,0.02857142857142857,0.11428571428571428,56.6,35,,,
turnover,null_random,0.5,1,0.02086330067947976,0.0,0.05714285714285714,91.37142857142857,35,-0.0017161260466985568,0.06835517057824844,0.026472308221534225
turnover,null_prot_prior,0.5,1,0.013513513513513513,0.0,0.0,74.0,35,-0.024676122560550247,0.08994110648476192,0.010526315789473684
turnover,null_lig_prior,0.5,1,1.0,1.0,1.0,1.0,35,,,0.027072583419332642
