dataset,matrix,per_lig_auc,n_lig_eligible,matrix_mrr,matrix_h@5,matrix_h@10,matrix_mean_rank,matrix_n_matched,row_spearman_vs_model_mean,row_spearman_vs_model_std,topk_jaccard@10_vs_model
kcat_km,model_v5,0.5,5,0.2280429880383422,0.32894736842105265,0.40789473684210525,16.43421052631579,76,,,
kcat_km,null_random,0.5,5,0.026850144877728025,0.039473684210526314,0.039473684210526314,99.85526315789474,76,0.006382050694536822,0.0750555214759641,0.027361111111111107
kcat_km,null_prot_prior,0.5,5,0.013333333333333334,0.0,0.0,75.0,76,0.010301119339882703,0.08405764234203511,0.021081871345029236
kcat_km,null_lig_prior,0.5,5,1.0,1.0,1.0,1.0,76,,,0.023130374957000342
km,model_v5,0.4375,4,0.2190030796456462,0.288135593220339,0.3898305084745763,52.644067796610166,59,,,
km,null_random,0.4375,4,0.026268841287501635,0.03389830508474576,0.05084745762711865,106.0677966101695,59,0.003575745734548266,0.06973336235075676,0.024946680426556584
km,null_prot_prior,0.5,4,0.00980392156862745,0.0,0.0,102.0,59,-0.04427159242393923,0.06268787064768064,0.04019779841761266
km,null_lig_prior,0.5,4,1.0,1.0,1.0,1.0,59,,,0.018981768145854828
turnover,model_v5,0.5,1,0.3441930603246297,0.4857142857142857,0.7142857142857143,14.028571428571428,35,,,
turnover,null_random,0.5,1,0.02086330067947976,0.0,0.05714285714285714,91.37142857142857,35,-0.0015873177781887328,0.07029555152777596,0.028601651186790505
turnover,null_prot_prior,0.5,1,0.013513513513513513,0.0,0.0,74.0,35,-0.06194595972561331,0.09893760617778527,0.01982456140350877
turnover,null_lig_prior,0.5,1,1.0,1.0,1.0,1.0,35,,,0.03002579979360165
