model,model_label,seed,stage,n_dim,linear_probe_auc,test_global_auc,matrix_mrr
before,abl_bce_only,7,raw_inputs,1664,0.8571306658864263,0.9807261096845195,0.01683703969445436
before,abl_bce_only,7,after_LN,1664,0.8658717967473727,0.9807261096845195,0.01683703969445436
before,abl_bce_only,7,after_hidden,512,0.9521615097651964,0.9807261096845195,0.01683703969445436
before,abl_bce_only,7,proj_concat,512,0.953831711896228,0.9807261096845195,0.01683703969445436
before,abl_bce_only,7,head_penultimate,128,0.9513081218150342,0.9807261096845195,0.01683703969445436
before,abl_bce_only,7,score,1,0.9462060809987077,0.9807261096845195,0.01683703969445436
gold,abl_attn_pool,7,raw_inputs,1664,0.8571062833735645,0.6391301357300073,0.5586513656846137
gold,abl_attn_pool,7,after_LN,1664,0.8654451027722917,0.6391301357300073,0.5586513656846137
gold,abl_attn_pool,7,after_hidden,512,0.8758198619949772,0.6391301357300073,0.5586513656846137
gold,abl_attn_pool,7,proj_concat,512,0.8656401628751859,0.6391301357300073,0.5586513656846137
gold,abl_attn_pool,7,head_penultimate,128,0.8017335966644722,0.6391301357300073,0.5586513656846137
gold,abl_attn_pool,7,score,1,0.6796198766244849,0.6391301357300073,0.5586513656846137
