dataset,arm,pooled_auc,per_lig_auc,matrix_mrr,null_prot_prior_mrr,top10_jaccard_null,rho_row_null,gini_resid
davis,BCE,0.878,0.756,0.0438,0.0213,0.176,0.422,-0.045
davis,RankBind,0.682,0.686,0.038,0.0213,0.0,0.218,-0.091
kiba,BCE,0.856,0.747,0.0347,0.0159,0.111,0.351,-0.049
kiba,RankBind,0.492,0.457,0.0225,0.0159,0.111,-0.147,-0.008
bindingdb_kd,BCE,0.844,0.679,0.0424,0.0156,0.176,0.48,-0.022
bindingdb_kd,RankBind,0.692,0.728,0.3199,0.0156,0.053,0.089,-0.094
esp,BCE,0.897,0.847,0.0978,0.0077,0.053,0.008,-0.214
esp,RankBind,0.562,0.54,0.0712,0.0077,0.111,-0.03,-0.039
kcat_km,BCE,0.948,0.547,0.0291,0.0133,0.053,0.09,-0.017
kcat_km,RankBind,0.619,0.547,0.228,0.0133,0.053,0.01,-0.182
km,BCE,0.978,0.576,0.0301,0.0098,0.111,0.2,-0.007
km,RankBind,0.633,0.59,0.219,0.0098,0.053,-0.044,-0.209
turnover,BCE,0.966,0.533,0.0135,0.0135,0.0,0.102,-0.016
turnover,RankBind,0.603,0.555,0.3442,0.0135,0.111,-0.062,-0.173
