smiles,uniprot,rank,mrr_contrib,true_score,margin,classes,n_heavy_atoms
O=C1N=C(O)C2(O)NC(O)=NC2=N1,A6T926,196,0.005076142131979695,-6.150923252105713,-14.089813232421875,OTHER,13
CCCCCC(=O)Oc1ccc([N+](=O)[O-])cc1,C0LA90,133,0.007462686567164179,-1.8243061304092407,-11.59541380405426,OTHER,17
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@@H](O)O[C@H](CO)[C@H]3O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,A7PQW3,98,0.010101010101010102,2.2920095920562744,-8.318504095077515,polyhydroxy,34
CCCCCCCCCC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,A0A0M3KL39,34,0.02857142857142857,-0.39893558621406555,-3.5061934292316437,"phosphate,long_aliphatic",59
CC(=O)Oc1ccc([N+](=O)[O-])cc1,C0LA90,33,0.029411764705882353,-0.8996614217758179,-9.743839621543884,OTHER,13
Cc1cc(=O)oc2cc(N=C(O)C(CCCNC(=N)N)N=C(O)C(Cc3ccccc3)N=C(O)OCc3ccccc3)ccc12,A4UWM5,26,0.037037037037037035,4.772458076477051,-7.112947463989258,OTHER,45
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,A0A1B1WA13,21,0.045454545454545456,2.3140459060668945,-6.429237365722656,"polyhydroxy,phenol_or_aromOH,carboxylate",25
OC[C@@H]1O[C@@H](OC[C@@H]2O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,A0A1L7HA00,16,0.058823529411764705,9.49119758605957,-5.804755210876465,polyhydroxy,19
OC[C@@H]1O[C@@H](OC[C@@H]2O[C@@H](OC[C@@H]3O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,A0A1L7HA00,15,0.0625,9.37136459350586,-5.946107864379883,polyhydroxy,28
COC(=O)/C=C/c1ccc(O)cc1,A0A1B1WA13,14,0.06666666666666667,5.450613021850586,-5.306522369384766,phenol_or_aromOH,13
COC(=O)/C=C/c1ccc(O)c(OC)c1,A0A1B1WA13,13,0.07142857142857142,6.393729209899902,-6.905525207519531,phenol_or_aromOH,15
CCCC(=O)Oc1ccc([N+](=O)[O-])cc1,C0LA90,11,0.08333333333333333,4.0366082191467285,-9.95241117477417,OTHER,15
CC(O)=N[C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,A0A0H2YQI3,9,0.1,5.819158554077148,-3.1699018478393555,polyhydroxy,36
COC(=O)/C=C/c1ccc(O)c(OC)c1,G2QND5,9,0.1,8.042661666870117,-5.256592750549316,phenol_or_aromOH,15
CC(O)=N[C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,A0A0H2YQI3,7,0.125,6.036463737487793,-2.8429489135742188,polyhydroxy,36
CCOC(=O)/C=C(\C)c1ccc(O)c(OC)c1,A0A1B1WA13,7,0.125,5.899421691894531,-6.10685920715332,phenol_or_aromOH,17
CCOC(=O)/C=C(\C)c1ccc(O)c(OC)c1,G2QND5,6,0.14285714285714285,5.936890602111816,-6.069390296936035,phenol_or_aromOH,17
CC(O)=N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,B3TLD6,4,0.2,7.183646202087402,-1.496124267578125,polyhydroxy,48
O=P(O)(O)OC[C@H]1O[C@](O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O,A0A0U4MTX7,3,0.25,5.1509222984313965,-1.8824248313903809,"phosphate,polyhydroxy",20
CCCCCCCBr,A6G7B1,2,0.3333333333333333,18.752477645874023,-4.251802444458008,halogenated,8
CC(C)(O/N=C(\C(O)=N[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CS[C@H]12)c1csc(=N)[nH]1)C(=O)[O-],E7BCS7,2,0.3333333333333333,1.8866307735443115,-2.4788248538970947,"amide_or_peptide,carboxylate",37
N=C(N)NCCCCN,A0A0H3G8U9,2,0.3333333333333333,21.228384017944336,-11.140947341918945,OTHER,9
BrCCBr,A6G7B1,2,0.3333333333333333,15.713921546936035,-1.6685781478881836,halogenated,4
CCCCCCBr,A6G7B1,2,0.3333333333333333,19.394380569458008,-5.13273811340332,halogenated,7
CCCCCBr,A6G7B1,2,0.3333333333333333,19.087055206298828,-5.306192398071289,halogenated,6
CCCCBr,A6G7B1,2,0.3333333333333333,19.01691436767578,-4.603887557983398,halogenated,5
COC(=O)/C=C/c1ccc(O)c(OC)c1,A0A0M4UW33,1,0.5,11.39002799987793,-1.909226417541504,phenol_or_aromOH,15
