uniprot,predictor,n_res,rho,partial_rho_vs_norm
Q77J78,esm2_norm,461,-0.3610079223170093,
Q77J78,rel_position,461,-0.3042718858054141,-0.1514691953038045
Q77J78,dist_to_terminus,461,-0.3512293379058424,-0.26577350897226965
Q77J78,hydropathy_KD,461,0.3206009924422756,0.29471600262682124
Q77J78,charge,461,0.014469432658180504,0.0037866522427842304
Q77J78,helix_propensity,461,-0.05044442932443555,-0.052122647137384896
Q77J78,sheet_propensity,461,0.2643729064907874,0.28600592679147785
A0A1L9P8I4,esm2_norm,608,-0.211277562950618,
A0A1L9P8I4,rel_position,608,0.3749152143837409,0.35054717125768237
A0A1L9P8I4,dist_to_terminus,608,-0.02151844180080884,-0.1046992378318004
A0A1L9P8I4,hydropathy_KD,608,0.24951241717193254,0.23996898363276817
A0A1L9P8I4,charge,608,0.05379388369265547,0.043443389966087896
A0A1L9P8I4,helix_propensity,608,-0.026231860445932387,-0.02797507213266638
A0A1L9P8I4,sheet_propensity,608,0.2837923489848516,0.2694301292439273
O25046,esm2_norm,409,-0.2565083329533137,
O25046,rel_position,409,0.18896633493877005,0.17812658717161822
O25046,dist_to_terminus,409,0.06368013591281128,0.092588958936795
O25046,hydropathy_KD,409,0.428776235223378,0.4237986404266202
O25046,charge,409,-0.028872466339825743,-0.0399376153307817
O25046,helix_propensity,409,-0.05058043122847206,-0.03641616306368196
O25046,sheet_propensity,409,0.3638845552133729,0.3691111376546002
P08311,esm2_norm,255,0.12108146875750488,
P08311,rel_position,255,-0.017024664196387217,-0.015868740529204204
P08311,dist_to_terminus,255,-0.15956212812338863,-0.13231157171335606
P08311,hydropathy_KD,255,-0.0866870803189546,-0.11430278993025624
P08311,charge,255,-0.0001717200319306868,0.0012466692477771577
P08311,helix_propensity,255,0.011527961461426916,-0.008205526468916084
P08311,sheet_propensity,255,-0.02701344980552742,-0.0505761168127028
Q65MI2,esm2_norm,562,-0.14134493349284769,
Q65MI2,rel_position,562,0.13236229590756965,0.17175871689471958
Q65MI2,dist_to_terminus,562,0.3915847177388953,0.3927362957173789
Q65MI2,hydropathy_KD,562,0.2181600535536304,0.2183155512883209
Q65MI2,charge,562,0.05564679261369169,0.03572132367429475
Q65MI2,helix_propensity,562,-0.0781475303212788,-0.05122161693098715
Q65MI2,sheet_propensity,562,0.22810624908929558,0.2120129501068822
Q8A6L0,esm2_norm,662,-0.1614667259103791,
Q8A6L0,rel_position,662,0.050723028284746466,-0.005945446262511169
Q8A6L0,dist_to_terminus,662,0.22509692877225831,0.2046322751549212
Q8A6L0,hydropathy_KD,662,0.2280966628935873,0.22521702546396277
Q8A6L0,charge,662,-0.024503808165124888,-0.024364022758114164
Q8A6L0,helix_propensity,662,-0.0004851424351476419,0.0025205822022121536
Q8A6L0,sheet_propensity,662,0.25106046641559904,0.24674156448617568
Q8L7J2,esm2_norm,521,-0.07745417487624118,
Q8L7J2,rel_position,521,0.036237189245330086,0.024623195458600772
Q8L7J2,dist_to_terminus,521,0.05416482286183607,0.04402282953874214
Q8L7J2,hydropathy_KD,521,0.2869598491566511,0.30048911027724806
Q8L7J2,charge,521,0.04347067208438477,0.043371826689365046
Q8L7J2,helix_propensity,521,0.038535844075466064,0.03956880891305371
Q8L7J2,sheet_propensity,521,0.27837726725903617,0.2818811619938258
P12822,esm2_norm,1022,-0.17789673924417984,
P12822,rel_position,1022,0.005358453996617357,-0.03244235161351606
P12822,dist_to_terminus,1022,0.03910980503265736,-0.002174049817281437
P12822,hydropathy_KD,1022,0.334810363753592,0.338582547849938
P12822,charge,1022,-0.0521254440364999,-0.06892930631894197
P12822,helix_propensity,1022,0.04025132200820956,0.05546163683314578
P12822,sheet_propensity,1022,0.26878508290050795,0.2654271363698344
P19531,esm2_norm,719,-0.08815377929988909,
P19531,rel_position,719,-0.17907050698445046,-0.17903947949477597
P19531,dist_to_terminus,719,0.15539199466050568,0.1427786616655869
P19531,hydropathy_KD,719,0.13290628227715265,0.13269367579969135
P19531,charge,719,-0.008341747789731268,-0.014053503120290717
P19531,helix_propensity,719,0.08151352729721403,0.07847253429207308
P19531,sheet_propensity,719,0.16099562764505843,0.15314181482019143
P37095,esm2_norm,427,-0.41946901263564224,
P37095,rel_position,427,0.2873283827370535,0.13179180730867565
P37095,dist_to_terminus,427,-0.062289289115766686,-0.29497872030307537
P37095,hydropathy_KD,427,0.22441106905969932,0.24515633182361124
P37095,charge,427,0.06730845301997476,0.025331175707712834
P37095,helix_propensity,427,-0.03083268222008164,-0.0010879876221917852
P37095,sheet_propensity,427,0.21285767061620126,0.24709376982868725
Q9X015,esm2_norm,255,0.015925341593330245,
Q9X015,rel_position,255,0.14103389879573877,0.14016975803667225
Q9X015,dist_to_terminus,255,0.3079476735836689,0.30771593234705175
Q9X015,hydropathy_KD,255,0.4164119837729495,0.41616252313153457
Q9X015,charge,255,0.04987397433091617,0.05244091769689596
Q9X015,helix_propensity,255,-0.16746355885148817,-0.16899068167461198
Q9X015,sheet_propensity,255,0.3765075011413829,0.37974714177744173
Q8ZRM2,esm2_norm,251,-0.06775109087459684,
Q8ZRM2,rel_position,251,0.16230848036425727,0.1781152748206599
Q8ZRM2,dist_to_terminus,251,-0.09474214435751692,-0.11518891654198017
Q8ZRM2,hydropathy_KD,251,0.3663137793981715,0.363066643680272
Q8ZRM2,charge,251,-0.012172954704329386,-0.01252082991401631
Q8ZRM2,helix_propensity,251,0.14303489912565118,0.161843062830007
Q8ZRM2,sheet_propensity,251,0.31324326698740257,0.3123955107379223
D9Q1R5,esm2_norm,187,-0.5304295923559663,
D9Q1R5,rel_position,187,-0.047058456501712184,0.08951747535206071
D9Q1R5,dist_to_terminus,187,0.33562077844661964,0.15656333495902708
D9Q1R5,hydropathy_KD,187,0.2350273541957845,0.23561916579181322
D9Q1R5,charge,187,-0.01629483996147494,-0.013041936695852917
D9Q1R5,helix_propensity,187,0.04994533298530229,0.04468992459603462
D9Q1R5,sheet_propensity,187,0.1807395586254259,0.1712878612098245
P0AFC0,esm2_norm,150,0.09530032028122376,
P0AFC0,rel_position,150,0.15812450164413702,0.14489154769032755
P0AFC0,dist_to_terminus,150,0.08956380911817931,0.09193544636207675
P0AFC0,hydropathy_KD,150,0.2329865731105278,0.22807383753289093
P0AFC0,charge,150,0.11640145279041378,0.11642492472390252
P0AFC0,helix_propensity,150,-0.08591291907538913,-0.09095937552330494
P0AFC0,sheet_propensity,150,0.22947988286879303,0.2269299830227608
Q9NQW7,esm2_norm,623,-0.23403131715815761,
Q9NQW7,rel_position,623,-0.02751103804248788,-0.06759308345108019
Q9NQW7,dist_to_terminus,623,-0.04297342101650486,-0.054675321277595605
Q9NQW7,hydropathy_KD,623,0.31675179502937184,0.31625357817184335
Q9NQW7,charge,623,-0.023051331864062354,-0.03141255884529549
Q9NQW7,helix_propensity,623,-0.07036384134302044,-0.03808133571864996
Q9NQW7,sheet_propensity,623,0.2403327302673482,0.2363732174471566
Q6HA27,esm2_norm,698,-0.1888180004537567,
Q6HA27,rel_position,698,-0.1599236239123614,-0.22714410720835934
Q6HA27,dist_to_terminus,698,0.06176114060400503,0.08980795763155516
Q6HA27,hydropathy_KD,698,0.24908193552563784,0.254369142529629
Q6HA27,charge,698,0.07468866225462319,0.05609007771054394
Q6HA27,helix_propensity,698,0.08084272441740413,0.09754096168288247
Q6HA27,sheet_propensity,698,0.24289955069304678,0.23612537941772244
A3DM60,esm2_norm,696,-0.41709611359432225,
A3DM60,rel_position,696,-0.009978530893987406,-0.12567004757783182
A3DM60,dist_to_terminus,696,0.164719420609057,0.10347859356257315
A3DM60,hydropathy_KD,696,0.33745425149580377,0.3313168738140642
A3DM60,charge,696,0.01048566072248016,0.014524456238807288
A3DM60,helix_propensity,696,-0.023085527936755904,-0.008717614286914775
A3DM60,sheet_propensity,696,0.2641995926798068,0.2547453881015431
A0A2I6UI54,esm2_norm,837,-0.28110407002465465,
A0A2I6UI54,rel_position,837,0.11693270578724262,0.17480299100212146
A0A2I6UI54,dist_to_terminus,837,0.09576337028323632,0.04215051064517064
A0A2I6UI54,hydropathy_KD,837,0.29273370873238924,0.2938052359240302
A0A2I6UI54,charge,837,-0.00633706453331815,-0.0167877309500928
A0A2I6UI54,helix_propensity,837,0.021763646057274096,0.05396910424945108
A0A2I6UI54,sheet_propensity,837,0.2868607019353762,0.28774166314917654
P80545,esm2_norm,267,0.10104668009113846,
P80545,rel_position,267,0.006595181564509968,0.019179861688757006
P80545,dist_to_terminus,267,-0.05708977179751868,-0.01878722601189773
P80545,hydropathy_KD,267,0.12708614485569567,0.11865719688417191
P80545,charge,267,-0.003927094021912342,-0.0023046051196968986
P80545,helix_propensity,267,0.005235817318786069,-0.026868159779128074
P80545,sheet_propensity,267,0.1303910966540676,0.12603476277395192
P39900,esm2_norm,470,-0.013194881688974446,
P39900,rel_position,470,-0.025103279606073944,-0.025894352606312947
P39900,dist_to_terminus,470,-0.006823305215606956,-0.012305305514560981
