n_residues,n_pocket,roc_auc,mean_pctile,enrichment,enrich_top10,uniprot,scope,annot
461,5,0.7289473684210526,0.7269565217391304,1.0511757135391235,4.0,Q77J78,consensus,Binding site:5
461,5,0.7741228070175439,0.7717391304347826,1.0646485090255737,2.0,Q77J78,seed42,
461,5,0.8482456140350877,0.8452173913043477,1.0706266164779663,5.999999999999999,Q77J78,seed7,
461,5,0.6087719298245614,0.6078260869565217,1.0182517766952515,4.0,Q77J78,seed1337,
608,1,0.011532125205930832,0.011532125205930808,0.8019939661026001,0.0,A0A1L9P8I4,consensus,Active site:1
608,1,0.041186161449752845,0.04118616144975288,0.8462616205215454,0.0,A0A1L9P8I4,seed42,
608,1,0.01317957166392092,0.013179571663920923,0.8467631936073303,0.0,A0A1L9P8I4,seed7,
608,1,0.008237232289950547,0.008237232289950576,0.7129571437835693,0.0,A0A1L9P8I4,seed1337,
409,4,0.018518518518518517,0.022058823529411763,0.8065809607505798,0.0,O25046,consensus,Binding site:4
409,4,0.025308641975308632,0.02879901960784314,0.8006278276443481,0.0,O25046,seed42,
409,4,0.1277777777777778,0.13051470588235292,0.8850830793380737,0.0,O25046,seed7,
409,4,0.00864197530864197,0.012254901960784314,0.734031617641449,0.0,O25046,seed1337,
255,3,0.07010582010582012,0.07349081364829396,0.7695562839508057,0.0,P08311,consensus,Active site:3
255,3,0.085978835978836,0.08923884514435697,0.7920911908149719,0.0,P08311,seed42,
255,3,0.07539682539682538,0.07874015748031497,0.819818377494812,0.0,P08311,seed7,
255,3,0.05687830687830689,0.060367454068241476,0.6967592239379883,0.0,P08311,seed1337,
562,5,0.3960502692998205,0.3967914438502674,0.9596337676048279,0.0,Q65MI2,consensus,Binding site:5
562,5,0.5321364452423698,0.5319073083778966,1.0019991397857666,0.0,Q65MI2,seed42,
562,5,0.2714542190305207,0.2730837789661319,0.9316042065620422,0.0,Q65MI2,seed7,
562,5,0.39533213644524234,0.396078431372549,0.9452975392341614,0.0,Q65MI2,seed1337,
662,4,0.3035714285714286,0.3044629349470499,0.9247511625289917,0.0,Q8A6L0,consensus,Active site:2;Binding site:3
662,4,0.3594224924012158,0.36006051437216335,0.9432008862495422,0.0,Q8A6L0,seed42,
662,4,0.2834346504559271,0.2844175491679274,0.9326470494270325,0.0,Q8A6L0,seed7,
662,4,0.28457446808510634,0.28555219364599094,0.8984056115150452,0.0,Q8A6L0,seed1337,
521,10,0.26438356164383564,0.2684615384615385,0.9169220924377441,0.0,Q8L7J2,consensus,Active site:2;Binding site:10
521,10,0.2951076320939335,0.29865384615384616,0.9249908924102783,0.0,Q8L7J2,seed42,
521,10,0.3655577299412916,0.36788461538461537,0.9590526223182678,0.0,Q8L7J2,seed7,
521,10,0.20587084148727985,0.21096153846153848,0.866722583770752,0.0,Q8L7J2,seed1337,
719,24,0.45173860911270985,0.45328458681522754,0.9794565439224243,1.6666666666666665,P19531,consensus,Active site:2;Binding site:23
719,24,0.4691846522781775,0.47017177344475397,0.9914183616638184,2.0833333333333335,P19531,seed42,
719,24,0.4408273381294964,0.4427228412256268,0.9747739434242249,1.6666666666666665,P19531,seed7,
719,24,0.4434052757793765,0.4452181987000929,0.9721770286560059,2.0833333333333335,P19531,seed1337,
427,7,0.0010204081632653025,0.008048289738430582,0.7307291030883789,0.0,P37095,consensus,Active site:2;Binding site:7
427,7,0.0023809523809523725,0.009389671361502346,0.7308544516563416,0.0,P37095,seed42,
427,7,0.02448979591836734,0.03118712273641851,0.8100976347923279,0.0,P37095,seed7,
427,7,0.0010204081632653025,0.008048289738430584,0.6512349843978882,0.0,P37095,seed1337,
255,18,0.41631504922644164,0.42191601049868765,0.9690647721290588,0.0,Q9X015,consensus,Binding site:20
255,18,0.4184247538677919,0.4238845144356955,0.968876838684082,0.0,Q9X015,seed42,
