uniprot,L,n_active,n_binding,n_pocket,auc_pocket,auc_active,auc_binding
Q77J78,461,0,5,5,0.9416666666666667,,0.9416666666666667
A0A1L9P8I4,608,1,0,1,0.9406919275123559,0.9406919275123559,
O25046,409,0,4,4,0.4012345679012345,,0.4012345679012345
P08311,255,3,0,3,0.023809523809523794,0.023809523809523794,
Q65MI2,562,0,5,5,0.3307001795332137,,0.3307001795332137
Q8A6L0,662,2,3,4,0.331306990881459,0.1977272727272727,0.4264036418816388
Q8L7J2,521,2,10,10,0.4524461839530332,0.7225433526011561,0.4524461839530332
P12822,1022,3,10,13,0.44545246626515206,0.291789335950278,0.49219367588932805
P19531,719,2,22,24,0.37470023980815353,0.4274755927475593,0.37048389200469545
P37095,427,2,5,7,0.3765306122448979,0.6694117647058824,0.25971563981042656
Q9X015,255,0,18,18,0.7093295827473043,,0.7093295827473043
Q8ZRM2,251,0,7,7,0.617096018735363,,0.617096018735363
P0AFC0,150,0,11,11,0.6736429038587312,,0.6736429038587312
Q9NQW7,623,0,8,8,0.06504065040650406,,0.06504065040650406
A0A2I6UI54,837,1,6,7,0.4414802065404475,0.046650717703349276,0.5078219013237064
P80545,267,1,3,4,0.3640684410646388,0.14661654135338342,0.43813131313131315
P39900,470,1,24,25,0.37564044943820224,0.049040511727078906,0.39050822122571005
Q2I2N4,511,2,3,5,0.5339920948616601,0.7111984282907662,0.41535433070866146
Q81EK9,275,2,3,5,0.2896296296296296,0.05311355311355315,0.4509803921568627
Q8N1Q8,247,1,0,1,0.7073170731707317,0.7073170731707317,
Q59514,313,4,3,7,0.46358543417366943,0.4975728155339806,0.4193548387096774
Q9YGA8,481,1,0,1,0.975,0.975,
Q7XJJ7,607,3,4,6,0.6222961730449251,0.8752759381898454,0.5157545605306799
Q75UV1,126,0,13,13,0.7910142954390742,,0.7910142954390742
Q2QMN7,484,0,8,8,0.24238445378151263,,0.24238445378151263
Q97VT7,314,0,6,6,0.8143939393939394,,0.8143939393939394
P48740,699,6,14,20,0.18343151693667156,0.31216931216931215,0.13315954118873824
E2RV69,298,3,0,3,0.6892655367231638,0.6892655367231638,
Q81WT0,226,0,3,3,0.7713004484304932,,0.7713004484304932
Q9CA40,147,0,2,2,0.9655172413793104,,0.9655172413793104
P23141,567,3,0,3,0.31619385342789597,0.31619385342789597,
P45381,313,1,9,10,0.6798679867986799,0.5544871794871795,0.6929824561403508
Q8NFP7,164,1,15,16,0.7259290540540541,0.9938650306748467,0.7033557046979866
Q8JZL3,224,0,11,11,0.7033717456252667,,0.7033717456252667
Q82Y41,193,0,8,8,0.35608108108108105,,0.35608108108108105
P32329,569,2,0,2,0.3783068783068783,0.3783068783068783,
Q5ZZB6,459,0,5,5,0.7563876651982379,,0.7563876651982379
C5A6Q4,306,1,8,9,0.6535727646838758,0.2622950819672131,0.7026006711409396
G0UZY5,867,1,3,4,0.24130938586326767,0.13394919168591224,0.27777777777777773
A1SPN2,371,2,15,16,0.45704225352112676,0.7967479674796748,0.43071161048689127
D2PPM7,723,3,1,4,0.1519471488178025,0.16805555555555554,0.10664819944598336
Q2PYN0,295,0,7,7,0.14732142857142855,,0.14732142857142855
P84142,91,2,0,2,0.9775280898876405,0.9775280898876405,
P14384,443,1,3,4,0.3815489749430524,0.6085972850678734,0.30606060606060603
P21836,614,3,0,3,0.6612111292962357,0.6612111292962357,
Q5L1H1,389,0,5,5,0.4932291666666667,,0.4932291666666667
B3VPB3,467,2,0,2,0.2881720430107527,0.2881720430107527,
Q9FK35,248,0,19,19,0.39783957710871065,,0.39783957710871065
Q64514,1022,3,0,3,0.09551848217206411,0.09551848217206411,
P07711,333,3,11,14,0.5060456784594716,0.22828282828282825,0.5835686053077358
P06276,602,3,4,6,0.7158836689038032,0.7306622148024484,0.7734113712374582
A0A125SQG8,378,2,0,2,0.0718085106382979,0.0718085106382979,
