uniprot,feature,n_pos,n_res,auc
Q77J78,Domain,116,461,0.8281859070464768
Q77J78,Region,192,461,0.3685331474597274
Q77J78,Compositional bias,134,461,0.39851202702085897
Q77J78,Binding site,5,461,0.7289473684210526
A0A1L9P8I4,Domain,507,608,0.4960064053742652
A0A1L9P8I4,Region,20,608,0.31743197278911567
A0A1L9P8I4,Signal,19,608,0.4385667053882584
A0A1L9P8I4,Compositional bias,17,608,0.3372150890813178
A0A1L9P8I4,Active site,1,608,0.011532125205930832
O25046,Binding site,4,409,0.018518518518518517
P08311,Domain,223,255,0.16493834080717487
P08311,Region,20,255,0.40361702127659577
P08311,Signal,18,255,0.8752930145335209
P08311,Disulfide bond,83,255,0.45012608573830204
P08311,Active site,3,255,0.07010582010582012
Q65MI2,Domain,403,562,0.5581097741779422
Q65MI2,Binding site,5,562,0.3960502692998205
Q8A6L0,Signal,19,662,0.4503560612261603
Q8A6L0,Active site,2,662,0.1621212121212121
Q8A6L0,Binding site,3,662,0.3399089529590288
Q8L7J2,Signal,38,521,0.4726490138389452
Q8L7J2,Disulfide bond,9,521,0.8307291666666666
Q8L7J2,Active site,2,521,0.08766859344894029
Q8L7J2,Binding site,10,521,0.26438356164383564
P12822,Domain,960,1022,0.5953713037634408
P12822,Signal,33,1022,0.48311732083218434
P12822,Disulfide bond,67,1022,0.47518949753848566
P12822,Active site,3,1022,0.01701014066077855
P12822,Binding site,10,1022,0.29861660079051383
P19531,Domain,188,719,0.40314340665945425
P19531,Signal,33,719,0.498188885943988
P19531,Active site,2,719,0.03905160390516038
P19531,Binding site,22,719,0.4906091039520021
P37095,Active site,2,427,0.012941176470588234
P37095,Binding site,5,427,0.0009478672985782088
Q9X015,Binding site,18,255,0.41631504922644164
Q8ZRM2,Binding site,7,251,0.044496487119437926
D9Q1R5,Domain,166,187,0.8792312105565118
P0AFC0,Domain,142,150,0.6443661971830985
P0AFC0,Motif,22,150,0.322265625
P0AFC0,Binding site,11,150,0.5052321778940484
Q9NQW7,Modified residue,1,623,0.3536977491961415
Q9NQW7,Binding site,8,623,0.03577235772357723
Q6HA27,Domain,627,698,0.6030505200260574
A3DM60,Domain,379,696,0.6346020991651615
A3DM60,Disulfide bond,141,696,0.3544565842438182
A0A2I6UI54,Signal,23,837,0.39600470035252644
A0A2I6UI54,Active site,1,837,0.3911483253588517
A0A2I6UI54,Binding site,6,837,0.5860409145607701
P80545,Active site,1,267,0.003759398496240629
P80545,Binding site,3,267,0.03156565656565654
P39900,Motif,8,470,0.5267857142857143
P39900,Signal,16,470,0.7374724669603524
P39900,Disulfide bond,189,470,0.45730478826564236
