uniprot,n_residues,spearman_7_vs_42,top5pct_jacc_7_vs_42,top10pct_jacc_7_vs_42,spearman_7_vs_1337,top5pct_jacc_7_vs_1337,top10pct_jacc_7_vs_1337,spearman_42_vs_1337,top5pct_jacc_42_vs_1337,top10pct_jacc_42_vs_1337
Q77J78,461,0.7071688454740467,0.5862068965517241,0.5333333333333333,0.7516360843721027,0.5333333333333333,0.5081967213114754,0.7474739674104113,0.5333333333333333,0.4838709677419355
A0A1L9P8I4,608,0.8589492499356097,0.42857142857142855,0.4878048780487805,0.8895469799876045,0.5,0.6712328767123288,0.9252601978729702,0.5,0.525
O25046,409,0.8026265202246442,0.42857142857142855,0.41379310344827586,0.8536315259600172,0.5384615384615384,0.4909090909090909,0.9011814517684943,0.48148148148148145,0.5471698113207547
P08311,255,0.8908674444187125,0.08333333333333333,0.2682926829268293,0.898924559981473,0.18181818181818182,0.3,0.9176941002779065,0.5294117647058824,0.4444444444444444
Q65MI2,562,0.8633136380892336,0.4358974358974359,0.6,0.8799049931143431,0.5135135135135135,0.6470588235294118,0.9161810685188504,0.4358974358974359,0.5342465753424658
Q8A6L0,662,0.9132062456513644,0.43478260869565216,0.5,0.9190633198140229,0.5714285714285714,0.6296296296296297,0.9349791680156923,0.5348837209302325,0.5714285714285714
Q8L7J2,521,0.8597596779640594,0.40540540540540543,0.6,0.8921681083273509,0.4857142857142857,0.5757575757575758,0.9077092783890057,0.5294117647058824,0.5757575757575758
P12822,1022,0.8009538100275106,0.36,0.3783783783783784,0.7792954516942983,0.3076923076923077,0.42657342657342656,0.8741883116860305,0.3783783783783784,0.45714285714285713
P19531,719,0.8346147736914084,0.46938775510204084,0.5,0.8788962347116275,0.5652173913043478,0.5319148936170213,0.8887898827810731,0.7142857142857143,0.6
P37095,427,0.8519699474616969,0.4,0.43333333333333335,0.879331604765717,0.5,0.5357142857142857,0.9132680254963208,0.5555555555555556,0.5087719298245614
Q9X015,255,0.7475024606299212,0.3,0.3333333333333333,0.7538863478462251,0.3684210526315789,0.5294117647058824,0.8183396537748957,0.3,0.3684210526315789
Q8ZRM2,251,0.8031477897932081,0.23809523809523808,0.5151515151515151,0.7844894706886738,0.4444444444444444,0.47058823529411764,0.8199271485486626,0.23809523809523808,0.42857142857142855
D9Q1R5,187,0.8630014057160894,0.5,0.46153846153846156,0.8855809497942809,0.5,0.5833333333333334,0.904484711461174,0.38461538461538464,0.5833333333333334
P0AFC0,150,0.7668376372283213,0.45454545454545453,0.30434782608695654,0.7854126850082227,0.45454545454545453,0.42857142857142855,0.8369171963198365,0.6,0.42857142857142855
Q9NQW7,623,0.8478975269452097,0.4418604651162791,0.5308641975308642,0.8253233002049795,0.5121951219512195,0.55,0.8610519139983034,0.55,0.569620253164557
Q6HA27,698,0.8308220362737545,0.4,0.41414141414141414,0.8610817409783124,0.32075471698113206,0.5555555555555556,0.8792052619970423,0.34615384615384615,0.42857142857142855
A3DM60,696,0.8652842805531546,0.5555555555555556,0.5909090909090909,0.8860012884898252,0.6666666666666666,0.5909090909090909,0.9316717604988884,0.5217391304347826,0.7073170731707317
A0A2I6UI54,837,0.8654830986297692,0.423728813559322,0.4608695652173913,0.9269614263637544,0.6153846153846154,0.5,0.9057886833372972,0.47368421052631576,0.6
P80545,267,0.823005022198293,0.4444444444444444,0.6363636363636364,0.8620610304900267,0.4444444444444444,0.5882352941176471,0.9142922710095714,0.5294117647058824,0.5882352941176471
P39900,470,0.770828239304128,0.45454545454545453,0.49206349206349204,0.8188022195182493,0.45454545454545453,0.4461538461538462,0.8140937617297519,0.5483870967741935,0.5161290322580645
Q2I2N4,511,0.8446674089156208,0.6774193548387096,0.59375,0.8653927024576953,0.5294117647058824,0.5454545454545454,0.8971859891216758,0.625,0.5
X5D761,345,0.6877271372379412,0.36,0.4782608695652174,0.8133009345575902,0.4782608695652174,0.5111111111111111,0.8201093531739307,0.4166666666666667,0.5111111111111111
Q81EK9,275,0.7413288710654626,0.6470588235294118,0.4358974358974359,0.7768656414990913,0.5555555555555556,0.47368421052631576,0.8467989959897291,0.47368421052631576,0.5135135135135135
Q8N1Q8,247,0.7368564393492961,0.14285714285714285,0.42857142857142855,0.8418225631257226,0.4117647058823529,0.5625,0.8538249712521937,0.3333333333333333,0.42857142857142855
Q59514,313,0.7907203447536366,0.391304347826087,0.4418604651162791,0.853226116997713,0.391304347826087,0.5897435897435898,0.8643929634192347,0.5238095238095238,0.7222222222222222
C6W7B1,382,0.9081330026561738,0.46153846153846156,0.52,0.9242851058255533,0.5833333333333334,0.52,0.9329923444886464,0.52,0.5833333333333334
Q9YGA8,481,0.9143469474901009,0.5483870967741935,0.6,0.9370706127448867,0.5,0.5238095238095238,0.947678914950699,0.6551724137931034,0.6551724137931034
P75144,324,0.8197249786104277,0.391304347826087,0.3333333333333333,0.8705169661206814,0.45454545454545453,0.4222222222222222,0.898384977022748,0.28,0.391304347826087
Q7XJJ7,607,0.7992310914955191,0.42857142857142855,0.5061728395061729,0.8765489344824536,0.5789473684210527,0.6486486486486487,0.8948579431558,0.5,0.6052631578947368
Q75UV1,126,0.801376827896513,0.2,0.3,0.8266216722909636,0.2,0.4444444444444444,0.914090738657668,0.3333333333333333,0.3
Q2QMN7,484,0.730529508794453,0.5,0.43283582089552236,0.8203040022607276,0.5,0.43283582089552236,0.8663601912939755,0.4117647058823529,0.6
Q97VT7,314,0.9194182725897586,0.6,0.631578947368421,0.9416935329920412,0.6,0.7222222222222222,0.9502973465082497,0.6,0.6756756756756757
P48740,699,0.8568573431315538,0.2962962962962963,0.4,0.8504338049151555,0.37254901960784315,0.41414141414141414,0.8832639458626644,0.37254901960784315,0.44329896907216493
E2RV69,298,0.8551427498028024,0.5,0.5,0.8896182765456183,0.42857142857142855,0.5384615384615384,0.9103930145657604,0.6666666666666666,0.6666666666666666
Q81WT0,226,0.8273387652203292,0.4666666666666667,0.6428571428571429,0.8282598469195483,0.4666666666666667,0.7692307692307693,0.8823385702961548,0.4666666666666667,0.7037037037037037
Q9CA40,147,0.8447060423577059,0.4,0.5789473684210527,0.9035769065123271,0.2727272727272727,0.42857142857142855,0.889451374774271,0.4,0.5
P22434,369,0.892868796924041,0.5,0.6086956521739131,0.8840666220077437,0.44,0.4230769230769231,0.9391805909833482,0.5,0.5102040816326531
P23141,567,0.8348459425575834,0.47368421052631576,0.5833333333333334,0.8605776788726075,0.4,0.6056338028169014,0.8710821400066411,0.47368421052631576,0.6285714285714286
P45381,313,0.8590907169792417,0.28,0.37777777777777777,0.877589291724128,0.23076923076923078,0.34782608695652173,0.9336469781617417,0.3333333333333333,0.5897435897435898
Q8NFP7,164,0.7043053609565655,0.06666666666666667,0.14285714285714285,0.8148681185640634,0.06666666666666667,0.28,0.8237645042373456,0.45454545454545453,0.391304347826087
Q8JZL3,224,0.8264894298526587,0.375,0.4666666666666667,0.8532126841768098,0.375,0.6296296296296297,0.8852808029041215,0.4666666666666667,0.5714285714285714
Q82Y41,193,0.7918430505849046,0.5384615384615384,0.46153846153846156,0.8885643128038032,0.6666666666666666,0.5833333333333334,0.8640280300197638,0.6666666666666666,0.6521739130434783
P32329,569,0.8236812792395853,0.2727272727272727,0.3103448275862069,0.8387861346229257,0.24444444444444444,0.29545454545454547,0.8823303338670447,0.4358974358974359,0.4805194805194805
Q5ZZB6,459,0.8777987766286444,0.24324324324324326,0.373134328358209,0.9023817337938944,0.24324324324324326,0.4838709677419355,0.8962871548214246,0.35294117647058826,0.4838709677419355
C5A6Q4,306,0.8660070339878356,0.5,0.5897435897435898,0.8926268772046654,0.42857142857142855,0.7222222222222222,0.9068678232226304,0.36363636363636365,0.6756756756756757
G0UZY5,867,0.8265318760248531,0.4576271186440678,0.4380165289256198,0.8431882421215494,0.36507936507936506,0.45,0.8382192587645497,0.36507936507936506,0.359375
